"block_id","k","N","prev","q","seed"
2413,10,100,0.2,0.99,20302413
2414,10,100,0.5,0.99,20302414
2415,10,100,0.8,0.99,20302415
2416,10,100,0.95,0.99,20302416
2417,10,150,0.05,0.99,20302417
2418,10,150,0.2,0.99,20302418
2419,10,150,0.5,0.99,20302419
2420,10,150,0.8,0.99,20302420
2421,10,150,0.95,0.99,20302421
2422,10,200,0.05,0.99,20302422
2423,10,200,0.2,0.99,20302423
2424,10,200,0.5,0.99,20302424
2425,10,200,0.8,0.99,20302425
2426,10,200,0.95,0.99,20302426
2427,10,300,0.05,0.99,20302427
2428,10,300,0.2,0.99,20302428
2429,10,300,0.5,0.99,20302429
2430,10,300,0.8,0.99,20302430
2431,10,300,0.95,0.99,20302431
2432,10,500,0.05,0.99,20302432
2433,10,500,0.2,0.99,20302433
2434,10,500,0.5,0.99,20302434
2435,10,500,0.8,0.99,20302435
2436,10,500,0.95,0.99,20302436
2437,10,1000,0.05,0.99,20302437
2438,10,1000,0.2,0.99,20302438
2439,10,1000,0.5,0.99,20302439
2440,10,1000,0.8,0.99,20302440
2441,10,1000,0.95,0.99,20302441
2442,15,15,0.05,0.99,20302442
2443,15,15,0.2,0.99,20302443
2444,15,15,0.5,0.99,20302444
2445,15,15,0.8,0.99,20302445
2446,15,15,0.95,0.99,20302446
2447,15,20,0.05,0.99,20302447
2448,15,20,0.2,0.99,20302448
2449,15,20,0.5,0.99,20302449
2450,15,20,0.8,0.99,20302450
2451,15,20,0.95,0.99,20302451
2452,15,30,0.05,0.99,20302452
2453,15,30,0.2,0.99,20302453
2454,15,30,0.5,0.99,20302454
2455,15,30,0.8,0.99,20302455
2456,15,30,0.95,0.99,20302456
2457,15,50,0.05,0.99,20302457
2458,15,50,0.2,0.99,20302458
2459,15,50,0.5,0.99,20302459
2460,15,50,0.8,0.99,20302460
2461,15,50,0.95,0.99,20302461
2462,15,75,0.05,0.99,20302462
2463,15,75,0.2,0.99,20302463
2464,15,75,0.5,0.99,20302464
2465,15,75,0.8,0.99,20302465
2466,15,75,0.95,0.99,20302466
2467,15,100,0.05,0.99,20302467
2468,15,100,0.2,0.99,20302468
2469,15,100,0.5,0.99,20302469
2470,15,100,0.8,0.99,20302470
2471,15,100,0.95,0.99,20302471
2472,15,150,0.05,0.99,20302472
2473,15,150,0.2,0.99,20302473
2474,15,150,0.5,0.99,20302474
2475,15,150,0.8,0.99,20302475
2476,15,150,0.95,0.99,20302476
2477,15,200,0.05,0.99,20302477
2478,15,200,0.2,0.99,20302478
2479,15,200,0.5,0.99,20302479
2480,15,200,0.8,0.99,20302480
2481,15,200,0.95,0.99,20302481
2482,15,300,0.05,0.99,20302482
2483,15,300,0.2,0.99,20302483
2484,15,300,0.5,0.99,20302484
2485,15,300,0.8,0.99,20302485
2486,15,300,0.95,0.99,20302486
2487,15,500,0.05,0.99,20302487
2488,15,500,0.2,0.99,20302488
2489,15,500,0.5,0.99,20302489
2490,15,500,0.8,0.99,20302490
2491,15,500,0.95,0.99,20302491
2492,15,1000,0.05,0.99,20302492
2493,15,1000,0.2,0.99,20302493
2494,15,1000,0.5,0.99,20302494
2495,15,1000,0.8,0.99,20302495
2496,15,1000,0.95,0.99,20302496
2497,25,15,0.05,0.99,20302497
2498,25,15,0.2,0.99,20302498
2499,25,15,0.5,0.99,20302499
2500,25,15,0.8,0.99,20302500
2501,25,15,0.95,0.99,20302501
2502,25,20,0.05,0.99,20302502
2503,25,20,0.2,0.99,20302503
2504,25,20,0.5,0.99,20302504
2505,25,20,0.8,0.99,20302505
2506,25,20,0.95,0.99,20302506
2507,25,30,0.05,0.99,20302507
2508,25,30,0.2,0.99,20302508
2509,25,30,0.5,0.99,20302509
2510,25,30,0.8,0.99,20302510
2511,25,30,0.95,0.99,20302511
2512,25,50,0.05,0.99,20302512
2513,25,50,0.2,0.99,20302513
2514,25,50,0.5,0.99,20302514
2515,25,50,0.8,0.99,20302515
2516,25,50,0.95,0.99,20302516
2517,25,75,0.05,0.99,20302517
2518,25,75,0.2,0.99,20302518
2519,25,75,0.5,0.99,20302519
2520,25,75,0.8,0.99,20302520
2521,25,75,0.95,0.99,20302521
2522,25,100,0.05,0.99,20302522
2523,25,100,0.2,0.99,20302523
2524,25,100,0.5,0.99,20302524
2525,25,100,0.8,0.99,20302525
2526,25,100,0.95,0.99,20302526
2527,25,150,0.05,0.99,20302527
2528,25,150,0.2,0.99,20302528
2529,25,150,0.5,0.99,20302529
2530,25,150,0.8,0.99,20302530
2531,25,150,0.95,0.99,20302531
2532,25,200,0.05,0.99,20302532
2533,25,200,0.2,0.99,20302533
2534,25,200,0.5,0.99,20302534
2535,25,200,0.8,0.99,20302535
2536,25,200,0.95,0.99,20302536
2537,25,300,0.05,0.99,20302537
2538,25,300,0.2,0.99,20302538
2539,25,300,0.5,0.99,20302539
2540,25,300,0.8,0.99,20302540
2541,25,300,0.95,0.99,20302541
2542,25,500,0.05,0.99,20302542
2543,25,500,0.2,0.99,20302543
2544,25,500,0.5,0.99,20302544
2545,25,500,0.8,0.99,20302545
2546,25,500,0.95,0.99,20302546
2547,25,1000,0.05,0.99,20302547
2548,25,1000,0.2,0.99,20302548
2549,25,1000,0.5,0.99,20302549
2550,25,1000,0.8,0.99,20302550
2551,25,1000,0.95,0.99,20302551
